month,dc_burn_usd,hnt_burned,hnt_issued,hnt_price_avg,n_weeks,bme,bme_check
2023-05,53178.18624835281,37203.976377720006,2877910.7287665,1.444307751524219,5,0.012927425442993495,0.012793708770076054
2023-06,92587.7831577776,71870.07407308002,2311991.7069297,1.292738118652947,4,0.03108578368065286,0.03097824848010981
2023-07,112081.34490330581,72053.93550401,2709349.62225834,1.572299385713038,5,0.026594550556362107,0.026310738460909144
2023-08,99137.45638482348,55059.95693993001,1172848.37284255,1.7796876424665802,4,0.04694550311434126,0.04749546208461046
2023-09,198229.3023927282,138659.61773966998,1170114.90582548,1.4476948599060422,4,0.1185008558128314,0.11702059673480766
2023-10,136470.5473571133,91159.69196911002,1457589.42145787,1.5020938894145774,5,0.06254140612377167,0.06233136624303819
2023-11,64331.02695019099,28255.12133921001,1169064.3166243602,2.2742938811004367,4,0.024169005021721875,0.0241955498876697
2023-12,280249.9340751879,39470.21949226,1174176.9427070701,6.535065931535498,4,0.033615222762985994,0.03652262614240749
2024-01,494640.00383632886,75591.64508131999,1458899.04534835,6.938172265924027,5,0.051814171324836615,0.04886736458128789
2024-02,352739.8277613149,39884.53892558999,1176518.4879665999,8.635428218485739,4,0.03390047783653891,0.03471937222395202
2024-03,271940.0256951757,38746.98740138998,1168652.35297317,7.427668326383121,4,0.03315527265470669,0.03132818926268114
2024-04,206106.6862640328,46282.87552218999,1456479.68079263,5.014527056955939,5,0.03177722019232181,0.02822004303279845
2024-05,201008.49846440443,43621.289081990006,1166944.56225543,4.5678200720071604,4,0.03738077239734533,0.03770988484675243
2024-06,103348.65769093952,28152.09118884999,1162966.4278670298,3.544067670956626,4,0.024207140046581654,0.025074694860339728
2024-07,198201.85585618706,59588.71443433004,1447673.66048698,4.133341209233426,5,0.041161703815406236,0.033123466868916145
2024-08,51897.036430411805,7798.537059320004,1158532.3802128602,6.590982034231628,4,0.006731393263162104,0.006796483296482612
2024-09,386920.5587417097,52544.07411230998,1453050.29700071,7.546235175189393,5,0.03616122182471451,0.03528668194829842
2024-10,171969.58394139126,26187.76823404998,1176221.3200046,6.587315979549854,4,0.022264320318515874,0.02219494623497088
2024-11,998730.4835332502,159517.36916893988,1163405.9733866001,6.320735475726496,4,0.13711238623315217,0.1358155200889627
2024-12,91637.20747030588,12491.574637070002,3115643.86177506,7.635934676388442,5,0.004009307607434067,0.0038517831814265185
2025-01,42871.86699717817,9519.84532534999,1491692.52254846,4.763252271786266,4,0.0063819085913804485,0.006033780410789781
2025-02,492901.8250950217,149134.42552896996,1504867.85874772,3.5269057864747313,4,0.09910134279369393,0.09286845085074225
2025-03,570971.7742361083,200362.27616959994,1876521.8341112603,3.074505864573229,5,0.10677321868972206,0.09896592582451945
2025-04,52219.4871881113,14623.805918370002,1497415.63003024,3.6329418555885904,4,0.009766029968629804,0.009599128235383706
2025-05,137848.73016214411,36801.70678974994,1500394.67756638,3.8853010564817194,4,0.02452801742101739,0.023646810918969797
2025-06,2156067.475169731,708896.5833679195,1883509.26410923,2.5517968764927472,5,0.3763701070528999,0.448588861737332
2025-07,339329.45082801324,107932.08377053001,1464385.69567752,3.240291278357376,4,0.07370468319181007,0.07151251048019311
2025-08,1250286.4656857324,532886.12717089,613509.73193233,2.7505306286698215,4,0.8685862659301178,0.7409204611310978
2025-09,1120838.0024214322,456180.58448052016,776712.3287665,2.493778598168771,5,0.5873224456279488,0.5786617221536464
2025-10,2304023.959319331,975288.0335729893,621369.8630132,2.2052497603760868,4,1.5695773027091127,1.6814308897947294
2025-11,1224875.0863031342,545145.0401986805,621369.8630132,2.237458560069947,4,0.8773277763345593,0.8810217194303258
2025-12,2051270.6171253165,1205193.1228729698,776712.3287665,1.7208359516343918,5,1.551659576186903,1.5346992809089648
2026-01,867652.181851388,685183.45800417,621369.8630132,1.3046340288254,4,1.1026982459070667,1.0703030805177032
2026-02,707231.1031167797,777042.2810043195,377260.2739723,1.0952239623334779,3,2.059698130477881,1.7116593595702867
